epoch,train_mse,train_rmse,test_mse,test_rmse,test_mae
1.000000000000000000e+00,5.473309993743896484e+01,7.398182204936491146e+00,9.913262426853179932e-01,9.956536760768364136e-01,7.758871912956237793e-01
2.000000000000000000e+00,4.309495925903320312e+01,6.564675106890911493e+00,1.086196064949035645e+00,1.042207304210172714e+00,1.037062168121337891e+00
3.000000000000000000e+00,3.589100837707519531e+01,5.990910479808156275e+00,1.717036902904510498e+00,1.310357547734400052e+00,1.214951097965240479e+00
