epoch,train_mse,train_rmse,test_mse,test_rmse,test_mae
1.000000000000000000e+00,2.473324918746948242e+01,4.973253380581918570e+00,1.464302659034729004e+00,1.210083740505064842e+00,9.486172199249267578e-01
2.000000000000000000e+00,1.520946764945983887e+01,3.899931749333549469e+00,1.299614787101745605e+00,1.140006485552492732e+00,1.111160635948181152e+00
3.000000000000000000e+00,1.025882863998413086e+01,3.202940623861786573e+00,3.058853149414062500e+00,1.748957732312036883e+00,1.343145847320556641e+00
