epoch,train_mse,train_rmse,test_mse,test_rmse,test_mae
1.000000000000000000e+00,5.456615924835205078e+01,7.386891040779744344e+00,1.096941888332366943e+00,1.047349935948996391e+00,7.938111126422882080e-01
2.000000000000000000e+00,4.338887596130371094e+01,6.587023300498010769e+00,9.183765649795532227e-01,9.583196569931941022e-01,9.412241280078887939e-01
3.000000000000000000e+00,3.615889549255371094e+01,6.013226712219797321e+00,1.177516698837280273e+00,1.085134415101318250e+00,1.012705922126770020e+00
