epoch,train_mse,train_rmse,test_mse,test_rmse,test_mae
2.200000000000000000e+01,8.499844580387176940e-01,9.219460168788179422e-01,2.073355715087672912e+00,1.439915176351604709e+00,1.075254920911837608e+00
2.300000000000000000e+01,9.482007882487860639e-01,9.737560209050242221e-01,3.701864869101210154e+00,1.924023094742163043e+00,1.551612726288347233e+00
2.400000000000000000e+01,7.777113537487747585e-01,8.818794439994475098e-01,1.025208836119473998e+00,1.012525968121052111e+00,6.795969259726770684e-01
2.500000000000000000e+01,6.590027142876627719e-01,8.117898214979434313e-01,1.258540297988479439e+00,1.121846824654987973e+00,6.197371756264923315e-01
2.600000000000000000e+01,7.409401237066293167e-01,8.607787890664065911e-01,1.796393327635241066e+00,1.340295985085100838e+00,7.184252012274194854e-01
2.700000000000000000e+01,8.637310171570499184e-01,9.293713020946202663e-01,1.060553128687735214e+00,1.029831602101884958e+00,4.429262834586863984e-01
2.800000000000000000e+01,6.909699688093112746e-01,8.312460338608006483e-01,8.628675396896891003e-01,9.289066366915940121e-01,6.465575775239810197e-01
2.900000000000000000e+01,6.312688241215154150e-01,7.945242753506751576e-01,1.126862339045051176e+00,1.061537723797440602e+00,6.658500046540473116e-01
3.000000000000000000e+01,8.311859213042217531e-01,9.116939844620133293e-01,2.879140256984761059e+00,1.696802951725615349e+00,1.232157501727190629e+00
3.100000000000000000e+01,7.826636273248265274e-01,8.846827834454712436e-01,1.578272077164761811e+00,1.256292990175763791e+00,6.702980070425221815e-01
3.200000000000000000e+01,7.996328300011573686e-01,8.942219131743290861e-01,2.063356113482444965e+00,1.436438691167306603e+00,8.345690610819513910e-01
3.300000000000000000e+01,9.505494630492473673e-01,9.749612623326361360e-01,2.658572366599764258e+00,1.630512915189500811e+00,1.113795013116647858e+00
3.400000000000000000e+01,7.439981664254179394e-01,8.625532832384431581e-01,1.930828377741192536e+00,1.389542506633457686e+00,6.431653780917752083e-01
3.500000000000000000e+01,7.392170141013355567e-01,8.597773049466562734e-01,2.344235161393425138e+00,1.531089534087874737e+00,1.095533723131232318e+00
3.600000000000000000e+01,6.725745528105424587e-01,8.201064277339511488e-01,1.477839591670838226e+00,1.215664259436312511e+00,7.173949879851423406e-01
3.700000000000000000e+01,6.482660546917556887e-01,8.051497094899530138e-01,1.704720684876864789e+00,1.305649526050871367e+00,7.016472655455757712e-01
3.800000000000000000e+01,8.999164451294524580e-01,9.486392597449530006e-01,1.849882070442222970e+00,1.360103698415022766e+00,7.324961501645507189e-01
3.900000000000000000e+01,8.437344518641496371e-01,9.185501901715276141e-01,2.628275904329787860e+00,1.621195825410918001e+00,1.204222524081044465e+00
4.000000000000000000e+01,9.468294158708926433e-01,9.730515997987427834e-01,1.386185892738941217e+00,1.177363959334130961e+00,7.107249031737674638e-01
4.100000000000000000e+01,7.292799428760391445e-01,8.539788890107524733e-01,1.493867533651696000e+00,1.222238738402484204e+00,8.567400560709557134e-01
4.200000000000000000e+01,7.726600386484937522e-01,8.790108296537043620e-01,1.814899190850214117e+00,1.347181944226619299e+00,9.426268523864668181e-01
4.300000000000000000e+01,7.255255209384506854e-01,8.517778589153692792e-01,1.631456486918753779e+00,1.277284810415732608e+00,8.396161036389319099e-01
4.400000000000000000e+01,7.010256392636571299e-01,8.372727388752467803e-01,1.679326779980907292e+00,1.295888413398664341e+00,9.102563369529327320e-01
4.500000000000000000e+01,7.296246546083166029e-01,8.541806920132979375e-01,2.519201907178313160e+00,1.587199391122083636e+00,1.156849037738142849e+00
4.600000000000000000e+01,8.445809020734976746e-01,9.190108280501909643e-01,2.432209587729062150e+00,1.559554291369512402e+00,9.060383968275499411e-01
4.700000000000000000e+01,6.804031280679517790e-01,8.248655212020634675e-01,1.538246400130268920e+00,1.240260617826055567e+00,7.330714783780314381e-01
4.800000000000000000e+01,7.216857984658312519e-01,8.495209229123383832e-01,2.130904050412892659e+00,1.459761641643214425e+00,1.081931308139719272e+00
4.900000000000000000e+01,6.686019832556105991e-01,8.176808566033636483e-01,2.182586509031865241e+00,1.477357948850536840e+00,9.400019620172109791e-01
5.000000000000000000e+01,7.054333798821263990e-01,8.399008155027154476e-01,1.423785454636320003e+00,1.193224813116254390e+00,6.706171992114317026e-01
5.100000000000000000e+01,6.759975082990782314e-01,8.221906763635052906e-01,1.561081581767059800e+00,1.249432503886088286e+00,7.764653220210722129e-01
5.200000000000000000e+01,6.990573799241819319e-01,8.360965135223217271e-01,1.762361822750468709e+00,1.327539763152301378e+00,8.593891223514723565e-01
5.300000000000000000e+01,6.964425550756427885e-01,8.345313385821067076e-01,1.286050398293863584e+00,1.134041621058884841e+00,6.143706034447439235e-01
5.400000000000000000e+01,9.326127437199518422e-01,9.657187705123846388e-01,2.000298891957017489e+00,1.414319232690066208e+00,6.611895527193184519e-01
5.500000000000000000e+01,8.210634112028702969e-01,9.061254941799564699e-01,1.050239869213979160e+00,1.024812114103838656e+00,6.299628833504383740e-01
5.600000000000000000e+01,6.751843007537354779e-01,8.216959904695504413e-01,8.403493709155908098e-01,9.167057166373463462e-01,4.985963103117442285e-01
5.700000000000000000e+01,6.690420511079714361e-01,8.179499074564232641e-01,1.253067905142158933e+00,1.119405156832037784e+00,7.107758255908978029e-01
5.800000000000000000e+01,6.035736440953463067e-01,7.769000219432010690e-01,1.633373735147878758e+00,1.278035107165635953e+00,7.967446662113449873e-01
5.900000000000000000e+01,7.805792885759732513e-01,8.835039833390527786e-01,2.010245702560767178e+00,1.417831337839859929e+00,7.729045884203351591e-01
6.000000000000000000e+01,7.120111541468364669e-01,8.438075338291525229e-01,1.576501360240940119e+00,1.255588053559343109e+00,7.814490561820680581e-01
6.100000000000000000e+01,6.743520789037424912e-01,8.211894293667828526e-01,1.968066671694212122e+00,1.402877996011845596e+00,9.914500791119994494e-01
6.200000000000000000e+01,7.264508495855439563e-01,8.523208607006776960e-01,1.552309969028080161e+00,1.245917320301825004e+00,7.969724740700133703e-01
6.300000000000000000e+01,7.327867882376308817e-01,8.560296655126099497e-01,1.544703285263948178e+00,1.242860927563477658e+00,9.436589254637862689e-01
6.400000000000000000e+01,8.439186641960939594e-01,9.186504581156501592e-01,2.489809581142196304e+00,1.577913046128396779e+00,1.118739635937075372e+00
6.500000000000000000e+01,7.544076748302730451e-01,8.685664481375463541e-01,3.657447075625078536e+00,1.912445313107038469e+00,1.473415284832440220e+00
6.600000000000000000e+01,7.707871198654174805e-01,8.779448273470363828e-01,2.373033000788557612e+00,1.540465189736060836e+00,9.625600436654903058e-01
