epoch,train_mse,train_rmse,test_mse,test_rmse,test_mae
7.500000000000000000e+01,1.100451204292260954e+00,1.049023929322997262e+00,5.355589566731429052e+00,2.314214676025417639e+00,2.013680337279822208e+00
7.600000000000000000e+01,1.097453382948899714e+00,1.047594092647003983e+00,6.223243744487549023e+00,2.494643009427911728e+00,2.165581988510614231e+00
7.700000000000000000e+01,1.494799496809521733e+00,1.222619931462562759e+00,6.735211176002183997e+00,2.595228540225732239e+00,2.215019487581243229e+00
7.800000000000000000e+01,1.186431992356425713e+00,1.089234590139528169e+00,8.692041137045919186e+00,2.948226778429013262e+00,2.601784682055132247e+00
7.900000000000000000e+01,1.007727413703316754e+00,1.003856271436960546e+00,4.786630178931777557e+00,2.187836872102620234e+00,1.744917463211230757e+00
8.000000000000000000e+01,1.025131048302918790e+00,1.012487554641003262e+00,4.257637061839439241e+00,2.063404241015181828e+00,1.722356916081528633e+00
8.100000000000000000e+01,1.158381318498035162e+00,1.076281245073997805e+00,6.386820247778469906e+00,2.527215908421453161e+00,1.907149664123488408e+00
8.200000000000000000e+01,1.004390660541436775e+00,1.002192925808916613e+00,4.887034360057352700e+00,2.210663782680974077e+00,1.739821287470126432e+00
8.300000000000000000e+01,1.060277649436096370e+00,1.029697843756165465e+00,7.767859302894055240e+00,2.787087961097398647e+00,2.079872767616606222e+00
8.400000000000000000e+01,1.100573785339159949e+00,1.049082353935647971e+00,7.951445544531585696e+00,2.819830765228932279e+00,2.095764458847823697e+00
8.500000000000000000e+01,9.576101671418661976e-01,9.785755806997568085e-01,4.640663354039556765e+00,2.154219894541770319e+00,1.735737940343998753e+00
8.600000000000000000e+01,1.035205980972919049e+00,1.017450726557762586e+00,5.130918650573668138e+00,2.265153118571384461e+00,1.764776050011559905e+00
8.700000000000000000e+01,9.801176044696001677e-01,9.900088911063376074e-01,6.525605290186392793e+00,2.554526431686779731e+00,1.947213616939859726e+00
