epoch,train_mse,train_rmse,test_mse,test_rmse,test_mae
4.400000000000000000e+01,7.212787151336669922e+00,2.685663260972356081e+00,1.367990594458579956e+01,3.698635686923733790e+00,3.228991567373275640e+00
4.500000000000000000e+01,7.119307041168212891e+00,2.668202961014812580e+00,1.325921675157547064e+01,3.641320742749184269e+00,3.166222924232482860e+00
4.600000000000000000e+01,7.038937568664550781e+00,2.653099615292375368e+00,1.281526476597785980e+01,3.579841444251107951e+00,3.098573173403739833e+00
4.700000000000000000e+01,6.973000526428222656e+00,2.640643960557390812e+00,1.234870179688930492e+01,3.514071968086212028e+00,3.025829847335815614e+00
4.800000000000000000e+01,6.921846389770507812e+00,2.630940210223430498e+00,1.186120722168683983e+01,3.444010339950628108e+00,2.947893715739250187e+00
4.900000000000000000e+01,6.884152889251708984e+00,2.623766927387360059e+00,1.135558275479078283e+01,3.369804557358005326e+00,2.864829206883907187e+00
5.000000000000000000e+01,6.856616973876953125e+00,2.618514268411946677e+00,1.083503640574216931e+01,3.291661648125786321e+00,2.776774526298046109e+00
5.100000000000000000e+01,6.834791183471679688e+00,2.614343356078478120e+00,1.030377139675617215e+01,3.209948815286027823e+00,2.684090347945690347e+00
5.200000000000000000e+01,6.813909053802490234e+00,2.610346539025516055e+00,9.766895122557878395e+00,3.125203213001976454e+00,2.587444898903370039e+00
5.300000000000000000e+01,6.789655685424804688e+00,2.605696775418199884e+00,9.229452287763356466e+00,3.038001364016046146e+00,2.487487288177013589e+00
5.400000000000000000e+01,6.759460449218750000e+00,2.599896238163890594e+00,8.696799089372158065e+00,2.949033585663642043e+00,2.384848326683044473e+00
5.500000000000000000e+01,6.722680568695068359e+00,2.592813253725587685e+00,8.174794159293174545e+00,2.859159694611893343e+00,2.280700024485588173e+00
5.600000000000000000e+01,6.680403709411621094e+00,2.584647695414526325e+00,7.669829613551497616e+00,2.769445723164023043e+00,2.176386118113994517e+00
5.700000000000000000e+01,6.634353637695312500e+00,2.575723905564280880e+00,7.188192113012075168e+00,2.681080400325972057e+00,2.072881291925907199e+00
5.800000000000000000e+01,6.586632728576660156e+00,2.566443595440324632e+00,6.736195518210529976e+00,2.595418177907084178e+00,1.971922000586986634e+00
5.900000000000000000e+01,6.539221286773681641e+00,2.557190115492722349e+00,6.320522652942687003e+00,2.514064965935185914e+00,1.875662704885005860e+00
6.000000000000000000e+01,6.493624687194824219e+00,2.548259148358899662e+00,5.947539702072739409e+00,2.438757819479568489e+00,1.786616068720817463e+00
6.100000000000000000e+01,6.450748920440673828e+00,2.539832459128096520e+00,5.621604894440620726e+00,2.370992385993810014e+00,1.707133389472961449e+00
6.200000000000000000e+01,6.411272525787353516e+00,2.532049076496613704e+00,5.346990025391802348e+00,2.312355946949301799e+00,1.639538319051265791e+00
