epoch,train_mse,train_rmse,test_mse,test_rmse,test_mae
1.000000000000000000e+00,5.692026996612548828e+01,7.544552337026066979e+00,1.483474135398864746e+00,1.217979529958884255e+00,1.106809318065643311e+00
2.000000000000000000e+00,4.419738388061523438e+01,6.648111301761970182e+00,4.105982631444931030e-01,6.407794184776014479e-01,5.697344839572906494e-01
3.000000000000000000e+00,3.602785968780517578e+01,6.002321191656205812e+00,7.177185714244842529e-01,8.471827261131357201e-01,7.022125720977783203e-01
